VGS,VDS,freq,real_Y_2_1___0_0____
-2,0,1000000000,5.16151312337165e-08
-2,0.1,1000000000,5.70029239360542e-08
-2,0.2,1000000000,6.16044541281305e-08
-2,0.3,1000000000,6.55754311604644e-08
-2,0.4,1000000000,6.9039737066897e-08
-2,0.5,1000000000,7.2096076176548e-08
-2,0.6,1000000000,7.48231789665057e-08
-2,0.7,1000000000,7.72838897529245e-08
-2,0.8,1000000000,7.95283900110693e-08
-2,0.9,1000000000,8.1596749497443e-08
-2,1,1000000000,8.35209521553511e-08
-2,1.1,1000000000,8.53265096812489e-08
-2,1.2,1000000000,8.70337498933095e-08
-2,1.3,1000000000,8.86588475628319e-08
-2,1.4,1000000000,9.02146505475414e-08
-2,1.5,1000000000,9.17113427177452e-08
-2,1.6,1000000000,9.31569764181112e-08
-2,1.7,1000000000,9.45579004174766e-08
-2,1.8,1000000000,9.59191039940546e-08
-2,1.9,1000000000,9.72444936341614e-08
-2,2,1000000000,9.853711552883e-08
-2,2.1,1000000000,9.97993344389618e-08
-2,2.2,1000000000,1.01032977417803e-07
-2,2.3,1000000000,1.02239449216277e-07
-2,2.4,1000000000,1.034198248646e-07
-2,2.5,1000000000,1.04574923854716e-07
-2,2.6,1000000000,1.05705369489097e-07
-2,2.7,1000000000,1.06811636270418e-07
-2,2.8,1000000000,1.07894087650204e-07
-2,2.9,1000000000,1.08953006006319e-07
-2,3,1000000000,1.09988616357885e-07
-2,3.1,1000000000,1.11001105035005e-07
-2,3.2,1000000000,1.11990634285827e-07
-2,3.3,1000000000,1.12957353614152e-07
-2,3.4,1000000000,1.13901408488052e-07
-2,3.5,1000000000,1.14822946936836e-07
-2,3.6,1000000000,1.15722124454317e-07
-2,3.7,1000000000,1.16599107546236e-07
-2,3.8,1000000000,1.17454076194981e-07
-2,3.9,1000000000,1.18287225462584e-07
-2,4,1000000000,1.19098766410805e-07
-2,4.1,1000000000,1.1988892648306e-07
-2,4.2,1000000000,1.20657949465437e-07
-2,4.3,1000000000,1.21406095121769e-07
-2,4.4,1000000000,1.22133638579676e-07
-2,4.5,1000000000,1.22840869529883e-07
-2,4.6,1000000000,1.23528091289256e-07
-2,4.7,1000000000,1.24195619768326e-07
-2,4.8,1000000000,1.24843782376231e-07
-2,4.9,1000000000,1.25472916889588e-07
-2,5,1000000000,1.26083370306592e-07
-1.9,0,1000000000,6.22486808370293e-08
-1.9,0.1,1000000000,6.89117874292046e-08
-1.9,0.2,1000000000,7.45956945931012e-08
-1.9,0.3,1000000000,7.94948938511889e-08
-1.9,0.4,1000000000,8.37639398643754e-08
-1.9,0.5,1000000000,8.75258475785754e-08
-1.9,0.6,1000000000,9.08786538494323e-08
-1.9,0.7,1000000000,9.39005610189443e-08
-1.9,0.8,1000000000,9.6653983587533e-08
-1.9,0.9,1000000000,9.91887437636859e-08
-1.9,1,1000000000,1.01544603855169e-07
-1.9,1.1,1000000000,1.03753279568217e-07
-1.9,1.2,1000000000,1.05840045092075e-07
-1.9,1.3,1000000000,1.07825015748524e-07
-1.9,1.4,1000000000,1.09724174945511e-07
-1.9,1.5,1000000000,1.11550197653648e-07
-1.9,1.6,1000000000,1.13313111480798e-07
-1.9,1.7,1000000000,1.15020827809933e-07
-1.9,1.8,1000000000,1.16679568767956e-07
-1.9,1.9,1000000000,1.18294210550322e-07
-1.9,2,1000000000,1.19868559498607e-07
-1.9,2.1,1000000000,1.21405574062119e-07
-1.9,2.2,1000000000,1.22907543179359e-07
-1.9,2.3,1000000000,1.24376229545589e-07
-1.9,2.4,1000000000,1.25812984577657e-07
-1.9,2.5,1000000000,1.27218840560632e-07
-1.9,2.6,1000000000,1.28594584395522e-07
-1.9,2.7,1000000000,1.29940816510812e-07
-1.9,2.8,1000000000,1.31257997811173e-07
-1.9,2.9,1000000000,1.32546486981336e-07
-1.9,3,1000000000,1.33806570015646e-07
-1.9,3.1,1000000000,1.35038483482979e-07
-1.9,3.2,1000000000,1.36242432745785e-07
-1.9,3.3,1000000000,1.37418606117341e-07
-1.9,3.4,1000000000,1.38567185752037e-07
-1.9,3.5,1000000000,1.39688355910804e-07
-1.9,3.6,1000000000,1.407823091206e-07
-1.9,3.7,1000000000,1.41849250647446e-07
-1.9,3.8,1000000000,1.42889401622275e-07
-1.9,3.9,1000000000,1.43903001094051e-07
-1.9,4,1000000000,1.44890307232315e-07
-1.9,4.1,1000000000,1.45851597859018e-07
-1.9,4.2,1000000000,1.46787170455299e-07
-1.9,4.3,1000000000,1.47697341761231e-07
-1.9,4.4,1000000000,1.48582447064121e-07
-1.9,4.5,1000000000,1.4944283925279e-07
-1.9,4.6,1000000000,1.50278887700507e-07
-1.9,4.7,1000000000,1.51090977027266e-07
-1.9,4.8,1000000000,1.51879505782323e-07
-1.9,4.9,1000000000,1.52644885079955e-07
-1.9,5,1000000000,1.53387537214897e-07
-1.8,0,1000000000,7.48633964120401e-08
-1.8,0.1,1000000000,8.31210015620489e-08
-1.8,0.2,1000000000,9.01557398421815e-08
-1.8,0.3,1000000000,9.62111338357831e-08
-1.8,0.4,1000000000,1.01480517036933e-07
-1.8,0.5,1000000000,1.0611763068054e-07
-1.8,0.6,1000000000,1.10244903336008e-07
-1.8,0.7,1000000000,1.13959933660972e-07
-1.8,0.8,1000000000,1.17340581906719e-07
-1.8,0.9,1000000000,1.20448982797892e-07
-1.8,1,1000000000,1.2333471957593e-07
-1.8,1.1,1000000000,1.26037343023378e-07
-1.8,1.2,1000000000,1.2858837670589e-07
-1.8,1.3,1000000000,1.31012917403034e-07
-1.8,1.4,1000000000,1.3333091523881e-07
-1.8,1.5,1000000000,1.35558199417144e-07
-1.8,1.6,1000000000,1.37707301240349e-07
-1.8,1.7,1000000000,1.39788115140654e-07
-1.8,1.8,1000000000,1.41808429974014e-07
-1.8,1.9,1000000000,1.43774356212296e-07
-1.8,2,1000000000,1.45690669481598e-07
-1.8,2.1,1000000000,1.47561086801415e-07
-1.8,2.2,1000000000,1.49388488635053e-07
