VGS,VDS,DC_IDS_i_0____
-0.999999999999999,0.3,2.36163403865888e-09
-0.999999999999999,0.4,2.36173403946992e-09
-0.999999999999999,0.5,2.36183403965089e-09
-0.999999999999999,0.6,2.36193403969126e-09
-0.999999999999999,0.7,2.36203403970027e-09
-0.999999999999999,0.8,2.36213403970229e-09
-0.999999999999999,0.9,2.36223403970273e-09
-0.999999999999999,1,2.36233403970283e-09
-0.999999999999999,1.1,2.36243403970286e-09
-0.999999999999999,1.2,2.36253403970286e-09
-0.999999999999999,1.3,2.36263403970286e-09
-0.999999999999999,1.4,2.36273403970286e-09
-0.999999999999999,1.5,2.36283403970286e-09
-0.999999999999999,1.6,2.36293403970286e-09
-0.999999999999999,1.7,2.36303403970286e-09
-0.999999999999999,1.8,2.36313403970286e-09
-0.999999999999999,1.9,2.36323403970286e-09
-0.999999999999999,2,2.36333403970286e-09
-0.999999999999999,2.1,2.36343403970286e-09
-0.999999999999999,2.2,2.36353403970286e-09
-0.999999999999999,2.3,2.36363403970286e-09
-0.999999999999999,2.4,2.36373403970286e-09
-0.999999999999999,2.5,2.36383403970286e-09
-0.999999999999999,2.6,2.36393403970286e-09
-0.999999999999999,2.7,2.36403403970286e-09
-0.999999999999999,2.8,2.36413403970286e-09
-0.999999999999999,2.9,2.36423403970286e-09
-0.999999999999999,3,2.36433403970286e-09
-0.999999999999999,3.1,2.36443403970286e-09
-0.999999999999999,3.2,2.36453403970286e-09
-0.999999999999999,3.3,2.36463403970286e-09
-0.999999999999999,3.4,2.36473403970286e-09
-0.999999999999999,3.5,2.36483403970286e-09
-0.999999999999999,3.6,2.36493403970286e-09
-0.999999999999999,3.7,2.36503403970286e-09
-0.999999999999999,3.8,2.36513403970286e-09
-0.999999999999999,3.9,2.36523403970286e-09
-0.999999999999999,4,2.36533403970286e-09
-0.999999999999999,4.1,2.36543403970286e-09
-0.999999999999999,4.2,2.36553403970286e-09
-0.999999999999999,4.3,2.36563403970286e-09
-0.999999999999999,4.4,2.36573403970286e-09
-0.999999999999999,4.5,2.36583403970286e-09
-0.999999999999999,4.6,2.36593403970286e-09
-0.999999999999999,4.7,2.36603403970286e-09
-0.999999999999999,4.8,2.36613403970286e-09
-0.999999999999999,4.9,2.36623403970286e-09
-0.999999999999999,5,2.36633403970286e-09
-0.899999999999999,0,2.36133361852949e-09
-0.899999999999999,0.1,2.36143394572638e-09
-0.899999999999999,0.2,2.36153401873387e-09
-0.899999999999999,0.3,2.36163403502405e-09
-0.899999999999999,0.4,2.36173403865888e-09
-0.899999999999999,0.5,2.36183403946992e-09
-0.899999999999999,0.6,2.36193403965088e-09
-0.899999999999999,0.7,2.36203403969126e-09
-0.899999999999999,0.8,2.36213403970027e-09
-0.899999999999999,0.9,2.36223403970229e-09
-0.899999999999999,1,2.36233403970273e-09
-0.899999999999999,1.1,2.36243403970283e-09
-0.899999999999999,1.2,2.36253403970286e-09
-0.899999999999999,1.3,2.36263403970286e-09
-0.899999999999999,1.4,2.36273403970286e-09
-0.899999999999999,1.5,2.36283403970286e-09
-0.899999999999999,1.6,2.36293403970286e-09
-0.899999999999999,1.7,2.36303403970286e-09
-0.899999999999999,1.8,2.36313403970286e-09
-0.899999999999999,1.9,2.36323403970286e-09
-0.899999999999999,2,2.36333403970286e-09
-0.899999999999999,2.1,2.36343403970286e-09
-0.899999999999999,2.2,2.36353403970286e-09
-0.899999999999999,2.3,2.36363403970286e-09
-0.899999999999999,2.4,2.36373403970286e-09
-0.899999999999999,2.5,2.36383403970286e-09
-0.899999999999999,2.6,2.36393403970286e-09
-0.899999999999999,2.7,2.36403403970286e-09
-0.899999999999999,2.8,2.36413403970286e-09
-0.899999999999999,2.9,2.36423403970286e-09
-0.899999999999999,3,2.36433403970286e-09
-0.899999999999999,3.1,2.36443403970286e-09
-0.899999999999999,3.2,2.36453403970286e-09
-0.899999999999999,3.3,2.36463403970286e-09
-0.899999999999999,3.4,2.36473403970286e-09
-0.899999999999999,3.5,2.36483403970286e-09
-0.899999999999999,3.6,2.36493403970286e-09
-0.899999999999999,3.7,2.36503403970286e-09
-0.899999999999999,3.8,2.36513403970286e-09
-0.899999999999999,3.9,2.36523403970286e-09
-0.899999999999999,4,2.36533403970286e-09
-0.899999999999999,4.1,2.36543403970286e-09
-0.899999999999999,4.2,2.36553403970286e-09
-0.899999999999999,4.3,2.36563403970286e-09
-0.899999999999999,4.4,2.36573403970286e-09
-0.899999999999999,4.5,2.36583403970286e-09
-0.899999999999999,4.6,2.36593403970286e-09
-0.899999999999999,4.7,2.36603403970286e-09
-0.899999999999999,4.8,2.36613403970286e-09
-0.899999999999999,4.9,2.36623403970286e-09
-0.899999999999999,5,2.36633403970286e-09
-0.799999999999999,0,2.36133215213474e-09
-0.799999999999999,0.1,2.36143361852949e-09
-0.799999999999999,0.2,2.36153394572638e-09
-0.799999999999999,0.3,2.36163401873387e-09
-0.799999999999999,0.4,2.36173403502405e-09
-0.799999999999999,0.5,2.36183403865888e-09
-0.799999999999999,0.6,2.36193403946992e-09
-0.799999999999999,0.7,2.36203403965089e-09
-0.799999999999999,0.8,2.36213403969127e-09
-0.799999999999999,0.9,2.36223403970027e-09
-0.799999999999999,1,2.36233403970229e-09
-0.799999999999999,1.1,2.36243403970273e-09
-0.799999999999999,1.2,2.36253403970283e-09
-0.799999999999999,1.3,2.36263403970286e-09
-0.799999999999999,1.4,2.36273403970286e-09
-0.799999999999999,1.5,2.36283403970286e-09
-0.799999999999999,1.6,2.36293403970286e-09
-0.799999999999999,1.7,2.36303403970286e-09
-0.799999999999999,1.8,2.36313403970286e-09
-0.799999999999999,1.9,2.36323403970286e-09
-0.799999999999999,2,2.36333403970286e-09
-0.799999999999999,2.1,2.36343403970286e-09
-0.799999999999999,2.2,2.36353403970286e-09
