VGS,VDS,freq,real_Y_2_2___0_0____
-2,0,1000000000,1.31543632354278e-06
-2,0.1,1000000000,1.30825904010575e-06
-2,0.2,1000000000,1.30248930152811e-06
-2,0.3,1000000000,1.29785297021542e-06
-2,0.4,1000000000,1.29412893360155e-06
-2,0.5,1000000000,1.29113892059301e-06
-2,0.6,1000000000,1.28873925616744e-06
-2,0.7,1000000000,1.28681419177787e-06
-2,0.8,1000000000,1.28527051344532e-06
-2,0.9,1000000000,1.28403318471599e-06
-2,1,1000000000,1.28304182662701e-06
-2,1.1,1000000000,1.28224787514954e-06
-2,1.2,1000000000,1.28161228603194e-06
-2,1.3,1000000000,1.28110368238258e-06
-2,1.4,1000000000,1.28069686017834e-06
-2,1.5,1000000000,1.28037158279329e-06
-2,1.6,1000000000,1.28011160923911e-06
-2,1.7,1000000000,1.27990391103719e-06
-2,1.8,1000000000,1.27973804140596e-06
-2,1.9,1000000000,1.27960562735181e-06
-2,2,1000000000,1.27949996094522e-06
-2,2.1,1000000000,1.27941567053287e-06
-2,2.2,1000000000,1.27934845639301e-06
-2,2.3,1000000000,1.27929487828426e-06
-2,2.4,1000000000,1.27925218480078e-06
-2,2.5,1000000000,1.27921817637546e-06
-2,2.6,1000000000,1.27919109528792e-06
-2,2.7,1000000000,1.2791695375179e-06
-2,2.8,1000000000,1.27915238198686e-06
-2,2.9,1000000000,1.27913873390594e-06
-2,3,1000000000,1.27912787938198e-06
-2,3.1,1000000000,1.27911924904518e-06
-2,3.2,1000000000,1.27911238899086e-06
-2,3.3,1000000000,1.27910693747114e-06
-2,3.4,1000000000,1.27910260628935e-06
-2,3.5,1000000000,1.2790991659616e-06
-2,3.6,1000000000,1.2790964337794e-06
-2,3.7,1000000000,1.27909426435534e-06
-2,3.8,1000000000,1.27909254200693e-06
-2,3.9,1000000000,1.27909117475137e-06
-2,4,1000000000,1.27909008946802e-06
-2,4.1,1000000000,1.27908922802275e-06
-2,4.2,1000000000,1.27908854423735e-06
-2,4.3,1000000000,1.27908800144929e-06
-2,4.4,1000000000,1.27908757051322e-06
-2,4.5,1000000000,1.27908722832056e-06
-2,4.6,1000000000,1.27908695652455e-06
-2,4.7,1000000000,1.27908674057235e-06
-2,4.8,1000000000,1.27908656892214e-06
-2,4.9,1000000000,1.27908643242359e-06
-2,5,1000000000,1.27908632381331e-06
-1.9,0,1000000000,1.32345643489503e-06
-1.9,0.1,1000000000,1.31469823024482e-06
-1.9,0.2,1000000000,1.30765678891716e-06
-1.9,0.3,1000000000,1.3019980191947e-06
-1.9,0.4,1000000000,1.29745235048761e-06
-1.9,0.5,1000000000,1.2938023842528e-06
-1.9,0.6,1000000000,1.2908728757705e-06
-1.9,0.7,1000000000,1.28852262028339e-06
-1.9,0.8,1000000000,1.28663788820146e-06
-1.9,0.9,1000000000,1.28512711734854e-06
-1.9,1,1000000000,1.28391662349244e-06
-1.9,1.1,1000000000,1.28294713521147e-06
-1.9,1.2,1000000000,1.28217099567216e-06
